parentType,parentId,start,end,eventType,desc,singleEvent
Case,28081,2017-08-28T15:47:01.572Z,2017-08-28T15:47:01.572Z,CASE_STARTER,Enter Customer Onboarding Data,TRUE
Case,28081,2017-08-28T15:47:01.584Z,2017-08-28T15:49:19.367Z,CASE_PHASE,Customer Onboarding Case Created,FALSE
Case,28081,2017-08-28T15:47:31.171Z,2017-08-28T15:47:31.171Z,CASE_ACTION,Enter Customer Data,TRUE
Case,28081,2017-08-28T15:47:31.180Z,2017-08-28T15:47:31.180Z,CASE_PHASE_UPDATE,Documents Upload,TRUE
Case,28081,2017-08-28T15:48:02Z,2017-08-28T15:48:33.389Z,CASE_ACTION,Documents Check,TRUE
Case,28081,2017-08-28T15:48:02Z,2017-08-28T15:48:33.389Z,CASE_WORKITEM,Documents Check,FALSE
Case,28081,2017-08-28T15:48:33.389Z,2017-08-28T15:48:33.389Z,CASE_PHASE_UPDATE,Documents Check,TRUE
Case,28081,2017-08-28T15:48:48.445Z,2017-08-28T15:48:48.445Z,CASE_ACTION,Check Documents,TRUE
Case,28081,2017-08-28T15:48:48.467Z,2017-08-28T15:48:48.467Z,CASE_PHASE_UPDATE,Validation,TRUE
Case,28081,2017-08-28T15:49:19.344Z,2017-08-28T15:49:19.344Z,CASE_ACTION,Finalize Onboarding,TRUE
Case,28081,2017-08-28T15:49:19.367Z,2017-08-28T15:49:19.367Z,CASE_END,Onboarded,TRUE
